country	sample	age	period	type	longitude	latitude	data	color
EURe1_PL	P06	0	present	present	21.012	52.229	wgs	NA
EURe1_PL	P07	0	present	present	21.012	52.229	wgs	NA
EURe1_PL	P08	0	present	present	21.012	52.229	wgs	NA
EURe1_PL	P09	0	present	present	21.012	52.229	wgs	NA
EURe1_PL	P10	0	present	present	21.012	52.229	wgs	NA
EURe1_PL	P11	0	present	present	21.012	52.229	wgs	NA
EURe1_PL	P12	0	present	present	21.012	52.229	wgs	NA
EURe1_PL	P13	0	present	present	21.012	52.229	wgs	NA
EURe1_PL	P14	0	present	present	21.012	52.229	wgs	NA
EURe1_PL	P15	0	present	present	21.012	52.229	wgs	NA
EURn1_SE	S01	0	present	present	17.643	59.858	wgs	NA
EURn1_SE	S02	0	present	present	17.643	59.858	wgs	NA
EURn1_SE	S03	0	present	present	17.643	59.858	wgs	NA
EURn1_SE	S04	0	present	present	17.643	59.858	wgs	NA
EURn1_SE	S05	0	present	present	17.643	59.858	wgs	NA
EURn1_SE	S06	0	present	present	17.643	59.858	wgs	NA
EURn1_SE	S07	0	present	present	17.643	59.858	wgs	NA
EURn1_SE	S08	0	present	present	17.643	59.858	wgs	NA
EURn1_SE	S09	0	present	present	17.643	59.858	wgs	NA
EURn1_SE	S10	0	present	present	17.643	59.858	wgs	NA
EURn1_SE	S11	0	present	present	18.366	59.75	wgs	NA
EURn1_SE	S12	0	present	present	18.366	59.75	wgs	NA
EURn1_SE	S13	0	present	present	18.366	59.75	wgs	NA
EURn1_SE	S14	0	present	present	18.366	59.75	wgs	NA
EURn1_SE	S15	0	present	present	18.366	59.75	wgs	NA
EURs3_ISR	Z01	0	present	present	34.74	32.067	wgs	NA
EURs3_ISR	Z02	0	present	present	34.74	32.067	wgs	NA
EURs3_ISR	Z04	0	present	present	34.74	32.067	wgs	NA
EURw2_DE	D01	0	present	present	9.198	47.676	wgs	NA
EURw2_DE	D02	0	present	present	9.198	47.676	wgs	NA
EURw2_DE	D03	0	present	present	9.198	47.676	wgs	NA
EURw2_DE	D04	0	present	present	9.198	47.676	wgs	NA
EURw2_DE	D05	0	present	present	9.198	47.676	wgs	NA
EURw2_DE	D06	0	present	present	9.198	47.676	wgs	NA
EURw2_DE	D07	0	present	present	9.198	47.676	wgs	NA
EURw2_DE	D08	0	present	present	9.198	47.676	wgs	NA
EURw2_DE	D09	0	present	present	8.993	47.755	wgs	NA
EURw2_DE	D10	0	present	present	8.993	47.755	wgs	NA
EURw2_DE	D11	0	present	present	8.993	47.755	wgs	NA
EURw2_DE	D12	0	present	present	8.993	47.755	wgs	NA
EURw2_DE	D13	0	present	present	8.993	47.755	wgs	NA
EURw2_DE	D14	0	present	present	8.993	47.755	wgs	NA
EURw2_DE	D15	0	present	present	8.993	47.755	wgs	NA
SPA	E01	0	present	present	-5.477	42.588	wgs	NA
SPA	E02	0	present	present	-5.477	42.588	wgs	NA
SPA	E03	0	present	present	-5.477	42.588	wgs	NA
SPA	E04	0	present	present	-5.477	42.588	wgs	NA
SPA	E05	0	present	present	-5.477	42.588	wgs	NA
SPA	E06	0	present	present	-5.477	42.588	wgs	NA
SPA	E07	0	present	present	-5.477	42.588	wgs	NA
SPA	E08	0	present	present	-5.477	42.588	wgs	NA
SPA	E09	0	present	present	-5.477	42.588	wgs	NA
SPA	E10	0	present	present	-5.477	42.588	wgs	NA
SPA	E11	0	present	present	-5.477	42.588	wgs	NA
SPA	E12	0	present	present	-5.477	42.588	wgs	NA
SPA	E13	0	present	present	-5.477	42.588	wgs	NA
SPA	E14	0	present	present	-5.477	42.588	wgs	NA
SPA	E15	0	present	present	-5.477	42.588	wgs	NA
